,legalguilt,question,rate_punishment,rating,scenario,start,stop,subjguilt,uid
22,false,8,54.0,0,19,2019-10-02 20:38:23,2019-10-02 20:39:26,false,A3F0NFNLOLFJT0
23,false,9,27.0,0,21,2019-10-02 20:38:23,2019-10-02 20:40:00,false,A3F0NFNLOLFJT0
24,false,7,34.0,28,1,2019-10-03 00:39:25,2019-10-03 00:40:03,true,AARRC49LFF1O
25,false,10,6.0,0,6,2019-10-02 20:38:23,2019-10-02 20:40:27,false,A3F0NFNLOLFJT0
26,false,8,63.0,52,22,2019-10-03 00:39:25,2019-10-03 00:41:10,false,AARRC49LFF1O
27,true,11,25.0,100,7,2019-10-02 20:40:39,2019-10-02 20:41:23,true,A3F0NFNLOLFJT0
28,true,9,72.0,63,13,2019-10-03 00:39:25,2019-10-03 00:41:34,true,AARRC49LFF1O
29,false,12,83.0,0,22,2019-10-02 20:40:39,2019-10-02 20:41:50,false,A3F0NFNLOLFJT0
30,true,10,87.0,93,18,2019-10-03 00:39:25,2019-10-03 00:41:58,true,AARRC49LFF1O
31,false,13,22.0,0,9,2019-10-02 20:40:39,2019-10-02 20:42:22,false,A3F0NFNLOLFJT0
32,false,11,59.0,81,27,2019-10-03 00:44:23,2019-10-03 00:44:52,false,AARRC49LFF1O
33,false,12,45.0,41,9,2019-10-03 00:44:23,2019-10-03 00:45:57,true,AARRC49LFF1O
34,false,13,61.0,38,5,2019-10-03 00:44:23,2019-10-03 00:46:25,false,AARRC49LFF1O
35,false,14,62.0,65,25,2019-10-03 00:44:23,2019-10-03 00:47:53,true,AARRC49LFF1O
36,false,15,43.0,42,6,2019-10-03 00:44:23,2019-10-03 00:48:25,false,AARRC49LFF1O
37,false,16,39.0,32,2,2019-10-03 00:44:23,2019-10-03 00:48:51,false,AARRC49LFF1O
38,true,0,51.0,61,19,2019-10-02 20:41:17,2019-10-02 20:49:38,true,A3JLE2LJ5I17E2
39,false,1,61.0,44,2,2019-10-02 20:41:17,2019-10-02 20:49:44,false,A3JLE2LJ5I17E2
40,false,2,71.0,65,21,2019-10-02 20:49:50,2019-10-02 20:49:54,false,A3JLE2LJ5I17E2
41,true,3,63.0,35,16,2019-10-02 20:49:50,2019-10-02 20:49:59,true,A3JLE2LJ5I17E2
42,false,4,69.0,56,24,2019-10-02 20:49:50,2019-10-02 20:50:09,false,A3JLE2LJ5I17E2
43,false,5,70.0,47,28,2019-10-02 20:49:50,2019-10-02 20:50:17,false,A3JLE2LJ5I17E2
44,false,6,76.0,59,15,2019-10-02 20:49:50,2019-10-02 20:50:23,false,A3JLE2LJ5I17E2
45,false,17,43.0,39,19,2019-10-03 00:50:09,2019-10-03 00:50:40,true,AARRC49LFF1O
46,true,0,62.0,100,20,2019-10-02 20:48:56,2019-10-02 20:50:44,true,A27OFZ8AKEIQ0K
47,false,18,56.0,56,7,2019-10-03 00:50:09,2019-10-03 00:51:01,true,AARRC49LFF1O
48,false,7,89.0,83,20,2019-10-02 20:50:28,2019-10-02 20:51:16,false,A3JLE2LJ5I17E2
49,false,8,24.0,37,7,2019-10-02 20:50:28,2019-10-02 20:51:24,false,A3JLE2LJ5I17E2
50,true,19,92.0,88,26,2019-10-03 00:50:09,2019-10-03 00:51:24,true,AARRC49LFF1O
51,false,9,60.0,52,26,2019-10-02 20:50:28,2019-10-02 20:51:29,false,A3JLE2LJ5I17E2
52,false,10,52.0,46,10,2019-10-02 20:50:28,2019-10-02 20:51:34,false,A3JLE2LJ5I17E2
53,false,20,63.0,46,31,2019-10-03 00:50:09,2019-10-03 00:51:46,true,AARRC49LFF1O
54,true,21,89.0,88,4,2019-10-03 00:50:09,2019-10-03 00:52:15,true,AARRC49LFF1O
55,false,1,0.0,28,16,2019-10-02 20:48:56,2019-10-02 20:56:45,false,A27OFZ8AKEIQ0K
56,false,2,99.0,59,23,2019-10-02 20:57:03,2019-10-02 20:58:52,true,A27OFZ8AKEIQ0K
57,true,3,98.0,100,13,2019-10-02 20:57:03,2019-10-02 20:59:33,true,A27OFZ8AKEIQ0K
58,false,4,100.0,33,26,2019-10-02 20:57:03,2019-10-02 21:01:27,false,A27OFZ8AKEIQ0K
59,true,5,100.0,89,30,2019-10-02 20:57:03,2019-10-02 21:02:10,true,A27OFZ8AKEIQ0K
60,false,6,82.0,40,22,2019-10-02 20:57:03,2019-10-02 21:04:39,false,A27OFZ8AKEIQ0K
61,false,7,67.0,44,19,2019-10-02 21:04:46,2019-10-02 21:05:48,false,A27OFZ8AKEIQ0K
62,true,8,100.0,69,25,2019-10-02 21:04:46,2019-10-02 21:06:22,true,A27OFZ8AKEIQ0K
63,false,0,19.0,21,6,2019-10-02 21:05:30,2019-10-02 21:06:30,true,A2YGOORS5N9RW8
64,true,9,34.0,70,1,2019-10-02 21:04:46,2019-10-02 21:07:02,true,A27OFZ8AKEIQ0K
65,false,1,0.0,28,28,2019-10-02 21:05:30,2019-10-02 21:07:05,false,A2YGOORS5N9RW8
66,true,2,29.0,53,14,2019-10-02 21:07:21,2019-10-02 21:07:48,true,A2YGOORS5N9RW8
67,true,22,88.0,77,20,2019-10-03 00:53:33,2019-10-03 01:08:17,true,AARRC49LFF1O
68,false,10,71.0,17,7,2019-10-02 21:04:46,2019-10-02 21:08:29,false,A27OFZ8AKEIQ0K
69,false,3,3.0,29,2,2019-10-02 21:07:21,2019-10-02 21:08:34,false,A2YGOORS5N9RW8
70,false,23,43.0,31,8,2019-10-03 00:53:33,2019-10-03 01:08:37,false,AARRC49LFF1O
71,false,24,69.0,69,21,2019-10-03 00:53:33,2019-10-03 01:09:01,true,AARRC49LFF1O
72,false,4,0.0,0,19,2019-10-02 21:07:21,2019-10-02 21:09:05,false,A2YGOORS5N9RW8
73,false,25,44.0,47,12,2019-10-03 00:53:33,2019-10-03 01:09:18,false,AARRC49LFF1O
74,false,11,52.0,44,12,2019-10-02 21:08:39,2019-10-02 21:09:19,false,A27OFZ8AKEIQ0K
75,false,5,1.0,0,3,2019-10-02 21:07:21,2019-10-02 21:09:45,false,A2YGOORS5N9RW8
76,true,26,34.0,45,29,2019-10-03 00:53:33,2019-10-03 01:09:46,true,AARRC49LFF1O
77,false,12,26.0,19,6,2019-10-02 21:08:39,2019-10-02 21:09:55,false,A27OFZ8AKEIQ0K
78,false,6,0.0,0,29,2019-10-02 21:07:21,2019-10-02 21:10:17,false,A2YGOORS5N9RW8
79,false,27,68.0,58,10,2019-10-03 00:53:33,2019-10-03 01:10:32,false,AARRC49LFF1O
80,false,13,11.0,0,11,2019-10-02 21:08:39,2019-10-02 21:10:44,false,A27OFZ8AKEIQ0K
81,true,7,31.0,100,11,2019-10-02 21:10:25,2019-10-02 21:11:01,true,A2YGOORS5N9RW8
82,false,8,0.0,0,26,2019-10-02 21:10:25,2019-10-02 21:11:30,false,A2YGOORS5N9RW8
83,true,14,58.0,28,27,2019-10-02 21:08:39,2019-10-02 21:11:35,true,A27OFZ8AKEIQ0K
84,false,28,72.0,66,14,2019-10-03 01:11:37,2019-10-03 01:11:56,false,AARRC49LFF1O
85,true,9,99.0,100,23,2019-10-02 21:10:25,2019-10-02 21:12:01,true,A2YGOORS5N9RW8
86,false,29,75.0,88,15,2019-10-03 01:11:37,2019-10-03 01:12:23,true,AARRC49LFF1O
87,false,15,25.0,0,3,2019-10-02 21:08:39,2019-10-02 21:12:27,false,A27OFZ8AKEIQ0K
88,true,10,100.0,100,30,2019-10-02 21:10:25,2019-10-02 21:12:41,true,A2YGOORS5N9RW8
89,true,16,74.0,100,4,2019-10-02 21:08:39,2019-10-02 21:13:04,true,A27OFZ8AKEIQ0K
90,true,30,83.0,66,16,2019-10-03 01:11:37,2019-10-03 01:13:10,true,AARRC49LFF1O
91,false,11,0.0,0,1,2019-10-02 21:12:55,2019-10-02 21:13:25,false,A2YGOORS5N9RW8
92,false,12,0.0,0,20,2019-10-02 21:12:55,2019-10-02 21:14:09,false,A2YGOORS5N9RW8
93,true,13,100.0,100,27,2019-10-02 21:12:55,2019-10-02 21:14:40,true,A2YGOORS5N9RW8
94,false,17,98.0,11,29,2019-10-02 21:13:22,2019-10-02 21:15:03,false,A27OFZ8AKEIQ0K
95,false,14,19.0,52,21,2019-10-02 21:12:55,2019-10-02 21:15:22,true,A2YGOORS5N9RW8
96,true,18,57.0,36,2,2019-10-02 21:13:22,2019-10-02 21:16:00,true,A27OFZ8AKEIQ0K
97,false,15,0.0,0,18,2019-10-02 21:12:55,2019-10-02 21:16:02,false,A2YGOORS5N9RW8
98,true,19,79.0,81,10,2019-10-02 21:13:22,2019-10-02 21:16:39,true,A27OFZ8AKEIQ0K
99,false,16,0.0,22,24,2019-10-02 21:12:55,2019-10-02 21:16:40,false,A2YGOORS5N9RW8
100,false,17,0.0,13,31,2019-10-02 21:16:52,2019-10-02 21:17:27,false,A2YGOORS5N9RW8
101,true,20,75.0,70,24,2019-10-02 21:13:22,2019-10-02 21:17:45,true,A27OFZ8AKEIQ0K
102,false,18,0.0,11,9,2019-10-02 21:16:52,2019-10-02 21:18:12,false,A2YGOORS5N9RW8
103,true,21,89.0,100,21,2019-10-02 21:13:22,2019-10-02 21:18:27,true,A27OFZ8AKEIQ0K
104,false,19,0.0,0,13,2019-10-02 21:16:52,2019-10-02 21:18:47,false,A2YGOORS5N9RW8
105,false,20,0.0,7,25,2019-10-02 21:16:52,2019-10-02 21:19:26,false,A2YGOORS5N9RW8
106,false,21,0.0,0,7,2019-10-02 21:16:52,2019-10-02 21:20:00,false,A2YGOORS5N9RW8
107,false,22,0.0,0,16,2019-10-02 21:20:07,2019-10-02 21:20:32,false,A2YGOORS5N9RW8
108,false,23,24.0,59,22,2019-10-02 21:20:07,2019-10-02 21:21:07,true,A2YGOORS5N9RW8
109,true,0,100.0,86,19,2019-10-02 21:20:45,2019-10-02 21:21:23,true,AH00EJ6PK1H3A
110,false,24,0.0,21,15,2019-10-02 21:20:07,2019-10-02 21:21:44,true,A2YGOORS5N9RW8
111,false,1,94.0,16,22,2019-10-02 21:20:45,2019-10-02 21:22:02,false,AH00EJ6PK1H3A
112,false,25,0.0,23,12,2019-10-02 21:20:07,2019-10-02 21:22:22,false,A2YGOORS5N9RW8
113,false,2,100.0,0,11,2019-10-02 21:22:15,2019-10-02 21:22:45,false,AH00EJ6PK1H3A
114,false,26,0.0,32,4,2019-10-02 21:20:07,2019-10-02 21:22:59,false,A2YGOORS5N9RW8
115,false,27,0.0,0,5,2019-10-02 21:20:07,2019-10-02 21:23:14,false,A2YGOORS5N9RW8
116,false,3,100.0,5,25,2019-10-02 21:22:15,2019-10-02 21:23:19,false,AH00EJ6PK1H3A
117,false,4,11.0,4,3,2019-10-02 21:22:15,2019-10-02 21:23:50,false,AH00EJ6PK1H3A
118,false,28,0.0,44,10,2019-10-02 21:23:20,2019-10-02 21:23:56,false,A2YGOORS5N9RW8
119,true,29,33.0,68,8,2019-10-02 21:23:20,2019-10-02 21:24:15,true,A2YGOORS5N9RW8
120,false,5,78.0,5,5,2019-10-02 21:22:15,2019-10-02 21:24:19,false,AH00EJ6PK1H3A
121,true,6,100.0,94,27,2019-10-02 21:22:15,2019-10-02 21:24:41,true,AH00EJ6PK1H3A
122,true,30,26.0,100,17,2019-10-02 21:23:20,2019-10-02 21:24:54,true,A2YGOORS5N9RW8
123,false,7,100.0,45,16,2019-10-02 21:24:48,2019-10-02 21:25:19,true,AH00EJ6PK1H3A
124,false,8,100.0,19,30,2019-10-02 21:24:48,2019-10-02 21:25:44,false,AH00EJ6PK1H3A
125,true,9,74.0,84,17,2019-10-02 21:24:48,2019-10-02 21:26:21,true,AH00EJ6PK1H3A
126,true,10,100.0,100,13,2019-10-02 21:24:48,2019-10-02 21:26:37,true,AH00EJ6PK1H3A
127,true,11,100.0,85,29,2019-10-02 21:26:46,2019-10-02 21:27:19,true,AH00EJ6PK1H3A
128,false,12,100.0,9,23,2019-10-02 21:26:46,2019-10-02 21:28:28,false,AH00EJ6PK1H3A
129,true,13,100.0,58,31,2019-10-02 21:26:46,2019-10-02 21:29:24,true,AH00EJ6PK1H3A
130,false,14,96.0,57,4,2019-10-02 21:26:46,2019-10-02 21:29:49,true,AH00EJ6PK1H3A
131,false,15,99.0,19,15,2019-10-02 21:26:46,2019-10-02 21:30:17,false,AH00EJ6PK1H3A
132,true,16,53.0,76,20,2019-10-02 21:26:46,2019-10-02 21:31:04,true,AH00EJ6PK1H3A
133,true,17,100.0,84,26,2019-10-02 21:31:14,2019-10-02 21:32:04,true,AH00EJ6PK1H3A
134,true,18,86.0,100,21,2019-10-02 21:31:14,2019-10-02 21:32:42,true,AH00EJ6PK1H3A
135,false,19,95.0,48,12,2019-10-02 21:31:14,2019-10-02 21:33:08,false,AH00EJ6PK1H3A
136,true,20,87.0,100,24,2019-10-02 21:31:14,2019-10-02 21:33:52,true,AH00EJ6PK1H3A
137,false,21,51.0,45,8,2019-10-02 21:31:14,2019-10-02 21:34:27,false,AH00EJ6PK1H3A
138,true,22,77.0,92,9,2019-10-02 21:34:31,2019-10-02 21:34:43,true,AH00EJ6PK1H3A
139,true,23,73.0,100,7,2019-10-02 21:34:31,2019-10-02 21:35:19,true,AH00EJ6PK1H3A
140,true,24,70.0,99,18,2019-10-02 21:34:31,2019-10-02 21:35:57,true,AH00EJ6PK1H3A
141,false,25,37.0,4,14,2019-10-02 21:34:31,2019-10-02 21:36:37,false,AH00EJ6PK1H3A
142,false,26,50.0,4,6,2019-10-02 21:34:31,2019-10-02 21:37:11,false,AH00EJ6PK1H3A
143,true,27,59.0,76,2,2019-10-02 21:34:31,2019-10-02 21:37:51,true,AH00EJ6PK1H3A
144,false,28,100.0,45,10,2019-10-02 21:37:55,2019-10-02 21:38:19,true,AH00EJ6PK1H3A
145,false,29,95.0,8,1,2019-10-02 21:37:55,2019-10-02 21:39:00,false,AH00EJ6PK1H3A
146,false,30,100.0,50,28,2019-10-02 21:37:55,2019-10-02 21:39:37,true,AH00EJ6PK1H3A
147,true,0,98.0,91,31,2019-10-02 21:53:32,2019-10-02 21:53:42,true,A2XZU2LON0FYDQ
148,false,1,91.0,91,8,2019-10-02 21:53:32,2019-10-02 21:53:51,true,A2XZU2LON0FYDQ
149,false,2,95.0,81,6,2019-10-02 21:54:01,2019-10-02 21:54:09,true,A2XZU2LON0FYDQ
150,true,3,93.0,90,2,2019-10-02 21:54:01,2019-10-02 21:54:16,true,A2XZU2LON0FYDQ
151,false,4,87.0,96,11,2019-10-02 21:54:01,2019-10-02 21:54:27,true,A2XZU2LON0FYDQ
152,false,5,95.0,99,21,2019-10-02 21:54:01,2019-10-02 21:54:36,true,A2XZU2LON0FYDQ
153,false,6,78.0,88,4,2019-10-02 21:54:01,2019-10-02 21:54:47,true,A2XZU2LON0FYDQ
154,false,7,73.0,85,19,2019-10-02 21:54:53,2019-10-02 21:55:06,true,A2XZU2LON0FYDQ
155,false,8,74.0,87,25,2019-10-02 21:54:53,2019-10-02 21:55:16,true,A2XZU2LON0FYDQ
156,false,9,76.0,90,15,2019-10-02 21:54:53,2019-10-02 21:55:29,true,A2XZU2LON0FYDQ
157,false,10,96.0,79,13,2019-10-02 21:54:53,2019-10-02 21:55:39,true,A2XZU2LON0FYDQ
158,false,0,42.0,20,12,2019-10-02 22:02:00,2019-10-02 22:02:44,false,A2UTDZAZV1DF0N
159,false,1,18.0,1,5,2019-10-02 22:02:00,2019-10-02 22:03:00,false,A2UTDZAZV1DF0N
160,true,2,89.0,34,26,2019-10-02 22:03:11,2019-10-02 22:04:27,true,A2UTDZAZV1DF0N
161,false,3,98.0,2,29,2019-10-02 22:03:11,2019-10-02 22:04:45,false,A2UTDZAZV1DF0N
162,true,4,68.0,70,1,2019-10-02 22:03:11,2019-10-02 22:05:21,true,A2UTDZAZV1DF0N
163,false,5,98.0,43,22,2019-10-02 22:03:11,2019-10-02 22:06:44,false,A2UTDZAZV1DF0N
164,false,6,67.0,2,24,2019-10-02 22:03:11,2019-10-02 22:07:15,false,A2UTDZAZV1DF0N
165,false,7,19.0,0,7,2019-10-02 22:07:27,2019-10-02 22:07:49,false,A2UTDZAZV1DF0N
166,false,8,69.0,32,16,2019-10-02 22:07:27,2019-10-02 22:09:15,false,A2UTDZAZV1DF0N
167,false,9,98.0,5,23,2019-10-02 22:07:27,2019-10-02 22:09:37,false,A2UTDZAZV1DF0N
168,true,10,41.0,77,14,2019-10-02 22:07:27,2019-10-02 22:10:39,true,A2UTDZAZV1DF0N
169,false,11,74.0,2,15,2019-10-02 22:10:47,2019-10-02 22:11:15,false,A2UTDZAZV1DF0N
170,true,12,100.0,96,28,2019-10-02 22:10:47,2019-10-02 22:11:30,true,A2UTDZAZV1DF0N
171,false,13,85.0,4,30,2019-10-02 22:10:47,2019-10-02 22:11:47,false,A2UTDZAZV1DF0N
172,true,14,99.0,98,13,2019-10-02 22:10:47,2019-10-02 22:12:02,true,A2UTDZAZV1DF0N
173,true,15,50.0,52,2,2019-10-02 22:10:47,2019-10-02 22:12:23,true,A2UTDZAZV1DF0N
174,false,16,63.0,2,11,2019-10-02 22:10:47,2019-10-02 22:12:35,false,A2UTDZAZV1DF0N
175,false,0,35.0,4,8,2019-10-02 22:16:23,2019-10-02 22:16:43,false,A2NA2OJT15COZY
176,true,1,100.0,57,31,2019-10-02 22:16:23,2019-10-02 22:17:04,true,A2NA2OJT15COZY
177,false,2,96.0,37,25,2019-10-02 22:17:12,2019-10-02 22:17:32,false,A2NA2OJT15COZY
178,true,3,37.0,61,7,2019-10-02 22:17:12,2019-10-02 22:17:54,true,A2NA2OJT15COZY
179,false,4,35.0,12,18,2019-10-02 22:17:12,2019-10-02 22:18:14,false,A2NA2OJT15COZY
180,false,5,96.0,18,30,2019-10-02 22:17:12,2019-10-02 22:18:36,false,A2NA2OJT15COZY
181,false,6,97.0,9,23,2019-10-02 22:17:12,2019-10-02 22:18:56,false,A2NA2OJT15COZY
182,false,7,35.0,13,20,2019-10-02 22:19:11,2019-10-02 22:19:32,false,A2NA2OJT15COZY
183,false,8,37.0,3,14,2019-10-02 22:19:11,2019-10-02 22:19:47,false,A2NA2OJT15COZY
184,false,9,97.0,38,28,2019-10-02 22:19:11,2019-10-02 22:20:04,false,A2NA2OJT15COZY
185,true,10,84.0,59,13,2019-10-02 22:19:11,2019-10-02 22:20:15,true,A2NA2OJT15COZY
186,false,11,82.0,44,19,2019-10-02 22:20:26,2019-10-02 22:20:43,false,A2NA2OJT15COZY
187,false,12,33.0,26,6,2019-10-02 22:20:26,2019-10-02 22:21:14,false,A2NA2OJT15COZY
188,false,13,51.0,4,12,2019-10-02 22:20:26,2019-10-02 22:21:25,false,A2NA2OJT15COZY
189,true,14,79.0,71,27,2019-10-02 22:20:26,2019-10-02 22:21:47,true,A2NA2OJT15COZY
190,false,15,61.0,10,1,2019-10-02 22:20:26,2019-10-02 22:22:11,false,A2NA2OJT15COZY
191,false,16,36.0,14,4,2019-10-02 22:20:26,2019-10-02 22:22:30,false,A2NA2OJT15COZY
192,false,17,35.0,8,11,2019-10-02 22:22:46,2019-10-02 22:23:02,false,A2NA2OJT15COZY
193,false,18,25.0,6,9,2019-10-02 22:22:46,2019-10-02 22:23:20,false,A2NA2OJT15COZY
194,false,19,79.0,35,15,2019-10-02 22:22:46,2019-10-02 22:23:42,false,A2NA2OJT15COZY
195,true,20,51.0,42,10,2019-10-02 22:22:46,2019-10-02 22:24:02,true,A2NA2OJT15COZY
196,false,21,60.0,8,21,2019-10-02 22:22:46,2019-10-02 22:24:18,false,A2NA2OJT15COZY
197,false,22,74.0,6,26,2019-10-02 22:24:25,2019-10-02 22:24:49,false,A2NA2OJT15COZY
198,false,23,98.0,4,29,2019-10-02 22:24:25,2019-10-02 22:25:08,false,A2NA2OJT15COZY
199,false,24,71.0,24,16,2019-10-02 22:24:25,2019-10-02 22:25:27,false,A2NA2OJT15COZY
200,false,25,42.0,14,17,2019-10-02 22:24:25,2019-10-02 22:25:46,false,A2NA2OJT15COZY
201,false,26,62.0,6,22,2019-10-02 22:24:25,2019-10-02 22:26:01,false,A2NA2OJT15COZY
202,false,27,36.0,7,3,2019-10-02 22:24:25,2019-10-02 22:26:15,false,A2NA2OJT15COZY
203,false,28,42.0,24,2,2019-10-02 22:26:30,2019-10-02 22:26:48,false,A2NA2OJT15COZY
204,false,29,42.0,21,24,2019-10-02 22:26:30,2019-10-02 22:27:05,false,A2NA2OJT15COZY
205,false,30,32.0,47,5,2019-10-02 22:26:30,2019-10-02 22:27:19,true,A2NA2OJT15COZY
206,true,0,99.0,81,31,2019-10-02 22:38:02,2019-10-02 22:38:35,true,AIUOH9YE27PQ2
207,false,1,88.0,28,29,2019-10-02 22:38:02,2019-10-02 22:39:06,false,AIUOH9YE27PQ2
208,false,2,48.0,29,6,2019-10-02 22:39:20,2019-10-02 22:39:32,false,AIUOH9YE27PQ2
209,false,3,84.0,60,22,2019-10-02 22:39:20,2019-10-02 22:40:05,false,AIUOH9YE27PQ2
210,true,4,36.0,95,2,2019-10-02 22:39:20,2019-10-02 22:40:18,true,AIUOH9YE27PQ2
211,false,5,38.0,46,7,2019-10-02 22:39:20,2019-10-02 22:40:41,false,AIUOH9YE27PQ2
212,false,6,97.0,51,23,2019-10-02 22:39:20,2019-10-02 22:41:11,false,AIUOH9YE27PQ2
213,false,7,56.0,8,16,2019-10-02 22:41:18,2019-10-02 22:41:49,false,AIUOH9YE27PQ2
214,true,8,99.0,98,19,2019-10-02 22:41:18,2019-10-02 22:42:01,true,AIUOH9YE27PQ2
215,true,9,99.0,97,25,2019-10-02 22:41:18,2019-10-02 22:42:11,true,AIUOH9YE27PQ2
216,false,10,48.0,24,20,2019-10-02 22:41:18,2019-10-02 22:42:22,false,AIUOH9YE27PQ2
217,false,11,97.0,68,26,2019-10-02 22:42:28,2019-10-02 22:42:59,true,AIUOH9YE27PQ2
218,false,12,56.0,44,4,2019-10-02 22:42:28,2019-10-02 22:43:18,true,AIUOH9YE27PQ2
219,false,13,97.0,16,27,2019-10-02 22:42:28,2019-10-02 22:43:36,false,AIUOH9YE27PQ2
220,true,14,64.0,81,12,2019-10-02 22:42:28,2019-10-02 22:43:52,true,AIUOH9YE27PQ2
221,false,15,57.0,8,21,2019-10-02 22:42:28,2019-10-02 22:44:09,false,AIUOH9YE27PQ2
222,false,16,62.0,43,24,2019-10-02 22:42:28,2019-10-02 22:44:23,false,AIUOH9YE27PQ2
223,false,0,63.0,11,24,2019-10-02 22:47:27,2019-10-02 22:48:18,false,A3HSONMX6LNZR4
224,false,17,65.0,40,15,2019-10-02 22:44:32,2019-10-02 22:45:21,true,AIUOH9YE27PQ2
225,true,18,76.0,98,14,2019-10-02 22:44:32,2019-10-02 22:45:36,true,AIUOH9YE27PQ2
226,false,1,22.0,27,2,2019-10-02 22:47:27,2019-10-02 22:48:46,true,A3HSONMX6LNZR4
227,true,19,46.0,72,10,2019-10-02 22:44:32,2019-10-02 22:45:55,true,AIUOH9YE27PQ2
228,false,20,46.0,27,9,2019-10-02 22:44:32,2019-10-02 22:46:17,false,AIUOH9YE27PQ2
229,false,2,88.0,15,27,2019-10-02 22:49:00,2019-10-02 22:49:39,false,A3HSONMX6LNZR4
230,false,21,98.0,12,28,2019-10-02 22:44:32,2019-10-02 22:46:45,true,AIUOH9YE27PQ2
231,false,3,99.0,23,25,2019-10-02 22:49:00,2019-10-02 22:50:11,false,A3HSONMX6LNZR4
232,false,22,68.0,89,17,2019-10-02 22:46:52,2019-10-02 22:47:08,true,AIUOH9YE27PQ2
233,false,4,59.0,11,14,2019-10-02 22:49:00,2019-10-02 22:50:30,false,A3HSONMX6LNZR4
234,false,23,58.0,50,1,2019-10-02 22:46:52,2019-10-02 22:47:25,false,AIUOH9YE27PQ2
235,false,5,67.0,5,10,2019-10-02 22:49:00,2019-10-02 22:50:49,false,A3HSONMX6LNZR4
236,false,24,100.0,5,30,2019-10-02 22:46:52,2019-10-02 22:47:48,false,AIUOH9YE27PQ2
237,false,25,36.0,48,8,2019-10-02 22:46:52,2019-10-02 22:48:08,true,AIUOH9YE27PQ2
238,false,6,58.0,11,1,2019-10-02 22:49:00,2019-10-02 22:51:18,false,A3HSONMX6LNZR4
239,true,26,55.0,71,5,2019-10-02 22:46:52,2019-10-02 22:48:20,true,AIUOH9YE27PQ2
240,false,27,52.0,3,11,2019-10-02 22:46:52,2019-10-02 22:48:36,false,AIUOH9YE27PQ2
241,false,7,60.0,23,7,2019-10-02 22:51:27,2019-10-02 22:51:49,true,A3HSONMX6LNZR4
242,false,28,89.0,2,13,2019-10-02 22:48:46,2019-10-02 22:49:02,false,AIUOH9YE27PQ2
243,true,8,47.0,63,21,2019-10-02 22:51:27,2019-10-02 22:52:14,true,A3HSONMX6LNZR4
244,false,29,26.0,20,3,2019-10-02 22:48:46,2019-10-02 22:49:15,false,AIUOH9YE27PQ2
245,false,9,22.0,40,8,2019-10-02 22:51:27,2019-10-02 22:52:35,true,A3HSONMX6LNZR4
246,false,30,98.0,31,18,2019-10-02 22:48:46,2019-10-02 22:49:36,true,AIUOH9YE27PQ2
247,false,10,85.0,17,22,2019-10-02 22:51:27,2019-10-02 22:53:02,true,A3HSONMX6LNZR4
248,false,11,49.0,49,4,2019-10-02 22:53:09,2019-10-02 22:53:34,true,A3HSONMX6LNZR4
