,uid,scenario,physical,document,witness,character
148,test4,4,none,none,clear_in,clear_in
149,test4,2,none,none,clear_in,none
150,test4,14,clear_in,none,none,none
151,test4,15,clear_in,none,none,clear_in
152,test4,9,clear_in,none,none,none
153,test4,13,none,clear_in,none,none
154,test4,3,clear_in,none,clear_in,none
155,testseth,23,none,none,clear_in,none
156,testseth,29,clear_in,none,clear_in,clear_in
157,testseth,3,clear_in,clear_in,none,clear_in
158,testseth,14,clear_in,none,clear_in,none
159,testseth,16,none,clear_in,none,clear_in
160,testseth,10,none,clear_in,clear_in,clear_in
161,testseth,26,clear_in,clear_in,clear_in,clear_in
162,testseth,30,clear_in,clear_in,clear_in,none
163,testseth,25,none,none,clear_in,clear_in
164,testseth,13,clear_in,none,none,none
165,testseth,9,clear_in,clear_in,none,none
166,testseth,2,none,clear_in,none,none
167,testseth,5,clear_in,none,none,clear_in
168,testseth,28,none,clear_in,clear_in,none
169,testseth,19,clear_in,none,none,clear_in
170,testseth,11,clear_in,clear_in,none,none
171,testseth,8,none,clear_in,none,clear_in
172,testseth,27,clear_in,clear_in,none,clear_in
173,testseth,17,clear_in,clear_in,clear_in,none
174,testseth,20,clear_in,none,clear_in,clear_in
175,testseth,12,clear_in,clear_in,clear_in,clear_in
176,testseth,31,none,none,clear_in,none
177,testseth,21,none,clear_in,clear_in,none
178,testseth,6,none,none,clear_in,clear_in
179,testseth,18,clear_in,none,clear_in,none
180,testseth,7,none,clear_in,none,none
181,testseth,1,clear_in,none,none,none
182,testseth,22,none,clear_in,clear_in,clear_in
183,testseth,15,clear_in,none,none,none
184,testseth,24,none,clear_in,clear_in,clear_in
185,testseth,4,clear_in,clear_in,clear_in,clear_in
186,sdgfklhansjtest,2,ambiguous,none,clear_in,clear_ex
187,sdgfklhansjtest,17,ambiguous,clear_in,clear_in,clear_ex
188,sdgfklhansjtest,16,clear_ex,clear_in,ambiguous,none
189,sdgfklhansjtest,21,clear_in,none,none,clear_ex
190,sdgfklhansjtest,18,clear_in,ambiguous,ambiguous,none
191,sdgfklhansjtest,10,clear_ex,clear_in,ambiguous,clear_in
192,sdgfklhansjtest,15,ambiguous,ambiguous,clear_in,clear_ex
193,sdgfklhansjtest,28,ambiguous,clear_in,clear_ex,clear_ex
194,sdgfklhansjtest,22,clear_in,clear_ex,none,clear_in
195,sdgfklhansjtest,14,ambiguous,clear_in,none,none
196,sdgfklhansjtest,6,clear_in,clear_in,ambiguous,clear_in
197,sdgfklhansjtest,7,clear_in,none,none,none
198,sdgfklhansjtest,20,ambiguous,clear_in,ambiguous,none
199,sdgfklhansjtest,24,clear_in,ambiguous,clear_ex,none
200,sdgfklhansjtest,12,none,clear_ex,clear_in,none
201,sdgfklhansjtest,3,clear_ex,clear_in,none,clear_in
202,sdgfklhansjtest,9,none,clear_in,clear_ex,clear_in
203,sdgfklhansjtest,5,clear_in,clear_in,ambiguous,none
204,sdgfklhansjtest,1,none,none,clear_in,clear_ex
205,sdgfklhansjtest,31,clear_in,clear_in,clear_in,clear_ex
206,sdgfklhansjtest,13,ambiguous,clear_ex,clear_in,clear_in
207,sdgfklhansjtest,19,ambiguous,clear_in,ambiguous,clear_ex
208,sdgfklhansjtest,23,clear_in,clear_ex,ambiguous,clear_in
209,sdgfklhansjtest,29,ambiguous,ambiguous,clear_in,clear_in
210,sdgfklhansjtest,8,clear_in,clear_in,ambiguous,clear_ex
211,sdgfklhansjtest,30,clear_ex,clear_in,ambiguous,clear_ex
212,sdgfklhansjtest,26,clear_in,ambiguous,clear_in,clear_in
213,sdgfklhansjtest,25,none,clear_in,ambiguous,none
214,sdgfklhansjtest,11,none,clear_in,clear_in,none
215,sdgfklhansjtest,27,ambiguous,clear_in,ambiguous,clear_in
216,sdgfklhansjtest,4,clear_in,clear_ex,ambiguous,clear_ex
217,kjasdnkjetest,2,clear_in,none,clear_ex,clear_ex
218,kjasdnkjetest,26,clear_ex,ambiguous,none,clear_in
219,kjasdnkjetest,13,ambiguous,none,none,none
220,kjasdnkjetest,14,clear_in,ambiguous,clear_ex,clear_ex
221,kjasdnkjetest,15,clear_in,clear_in,clear_ex,none
222,kjasdnkjetest,3,clear_in,ambiguous,ambiguous,clear_ex
223,kjasdnkjetest,16,none,clear_ex,ambiguous,clear_ex
224,kjasdnkjetest,4,ambiguous,clear_in,clear_in,none
225,kjasdnkjetest,12,none,none,ambiguous,none
226,kjasdnkjetest,31,clear_ex,clear_ex,ambiguous,clear_in
227,kjasdnkjetest,22,clear_in,clear_ex,none,none
228,kjasdnkjetest,28,clear_ex,none,clear_in,clear_in
229,kjasdnkjetest,24,ambiguous,none,ambiguous,clear_ex
230,kjasdnkjetest,5,clear_ex,none,clear_in,clear_ex
231,kjasdnkjetest,17,none,ambiguous,none,clear_in
232,kjasdnkjetest,21,clear_ex,ambiguous,ambiguous,clear_in
233,kjasdnkjetest,6,clear_ex,clear_in,ambiguous,none
234,kjasdnkjetest,1,clear_ex,clear_in,clear_ex,clear_in
235,kjasdnkjetest,18,clear_in,ambiguous,ambiguous,clear_in
236,kjasdnkjetest,27,none,none,clear_in,none
237,kjasdnkjetest,25,clear_in,clear_ex,ambiguous,none
238,kjasdnkjetest,9,none,ambiguous,none,none
239,kjasdnkjetest,30,clear_ex,clear_in,clear_in,clear_ex
240,kjasdnkjetest,29,clear_in,clear_in,none,clear_ex
241,kjasdnkjetest,8,ambiguous,none,clear_in,none
242,kjasdnkjetest,23,ambiguous,ambiguous,none,clear_ex
243,kjasdnkjetest,7,ambiguous,ambiguous,clear_ex,none
244,kjasdnkjetest,20,clear_in,clear_ex,clear_in,clear_in
245,kjasdnkjetest,10,none,clear_in,none,clear_ex
246,kjasdnkjetest,11,none,none,clear_in,clear_ex
247,kjasdnkjetest,19,clear_in,ambiguous,none,clear_ex
248,dafkjghiuq3wtest,26,none,none,none,clear_in
249,dafkjghiuq3wtest,14,clear_in,clear_ex,clear_ex,none
250,dafkjghiuq3wtest,9,ambiguous,none,none,clear_ex
251,dafkjghiuq3wtest,2,none,ambiguous,clear_ex,clear_in
252,dafkjghiuq3wtest,4,ambiguous,none,none,clear_in
253,dafkjghiuq3wtest,20,clear_in,none,clear_in,none
254,dafkjghiuq3wtest,19,none,none,none,clear_ex
255,dafkjghiuq3wtest,21,clear_in,none,none,clear_in
256,dafkjghiuq3wtest,27,none,clear_in,clear_in,clear_ex
257,dafkjghiuq3wtest,30,clear_ex,clear_in,none,clear_in
258,dafkjghiuq3wtest,5,ambiguous,none,clear_ex,none
259,dafkjghiuq3wtest,6,none,clear_ex,ambiguous,none
260,dafkjghiuq3wtest,1,none,ambiguous,none,clear_in
261,dafkjghiuq3wtest,7,ambiguous,clear_in,clear_ex,clear_in
262,dafkjghiuq3wtest,22,ambiguous,ambiguous,none,none
263,dafkjghiuq3wtest,18,ambiguous,clear_in,ambiguous,none
264,dafkjghiuq3wtest,8,none,clear_ex,ambiguous,clear_in
265,dafkjghiuq3wtest,13,clear_in,clear_ex,ambiguous,clear_in
266,dafkjghiuq3wtest,25,none,ambiguous,none,clear_ex
267,dafkjghiuq3wtest,23,clear_ex,none,clear_ex,clear_in
268,dafkjghiuq3wtest,16,ambiguous,none,ambiguous,none
269,dafkjghiuq3wtest,17,ambiguous,none,none,none
270,dafkjghiuq3wtest,11,clear_in,clear_ex,none,none
271,dafkjghiuq3wtest,31,clear_ex,ambiguous,clear_in,clear_ex
272,dafkjghiuq3wtest,29,none,clear_in,clear_ex,none
273,dafkjghiuq3wtest,28,clear_in,ambiguous,none,none
274,dafkjghiuq3wtest,15,none,none,clear_ex,none
275,dafkjghiuq3wtest,24,clear_ex,clear_ex,clear_in,clear_in
276,dafkjghiuq3wtest,12,none,clear_in,clear_ex,clear_ex
277,dafkjghiuq3wtest,10,clear_in,clear_ex,clear_in,clear_in
278,dafkjghiuq3wtest,3,clear_in,clear_in,clear_in,clear_ex
279,A2R7PDGVB16KGY,13,none,clear_in,none,none
280,A2R7PDGVB16KGY,6,clear_in,none,none,clear_in
281,A2R7PDGVB16KGY,28,clear_in,none,clear_in,none
282,A2R7PDGVB16KGY,12,clear_in,none,none,none
283,A2R7PDGVB16KGY,30,clear_in,clear_in,clear_in,clear_in
284,A2R7PDGVB16KGY,21,clear_in,clear_in,clear_in,none
285,A2R7PDGVB16KGY,10,clear_in,clear_in,none,none
286,A2R7PDGVB16KGY,11,none,none,clear_in,clear_in
287,A2R7PDGVB16KGY,3,clear_in,clear_in,none,clear_in
288,A2R7PDGVB16KGY,17,none,clear_in,clear_in,clear_in
289,A2R7PDGVB16KGY,15,clear_in,none,clear_in,clear_in
290,A2R7PDGVB16KGY,23,none,clear_in,clear_in,none
291,A2R7PDGVB16KGY,20,none,clear_in,none,clear_in
292,A2R7PDGVB16KGY,25,none,none,clear_in,none
293,A2R7PDGVB16KGY,22,clear_in,none,clear_in,clear_in
294,A2R7PDGVB16KGY,29,none,clear_in,none,clear_in
295,A2R7PDGVB16KGY,16,clear_in,none,none,clear_in
296,A2R7PDGVB16KGY,2,clear_in,clear_in,none,clear_in
297,A2R7PDGVB16KGY,19,clear_in,none,none,none
298,A2R7PDGVB16KGY,14,none,none,clear_in,clear_in
299,A2R7PDGVB16KGY,5,clear_in,clear_in,clear_in,none
300,A2R7PDGVB16KGY,8,none,clear_in,none,none
301,A2R7PDGVB16KGY,4,none,clear_in,clear_in,none
302,A2R7PDGVB16KGY,31,none,none,clear_in,none
303,A2R7PDGVB16KGY,27,clear_in,none,clear_in,none
304,A2R7PDGVB16KGY,18,clear_in,clear_in,clear_in,clear_in
305,A2R7PDGVB16KGY,9,clear_in,clear_in,none,none
306,A2R7PDGVB16KGY,7,none,clear_in,clear_in,clear_in
307,A2R7PDGVB16KGY,24,none,none,clear_in,none
308,A2R7PDGVB16KGY,26,none,none,clear_in,none
309,A2R7PDGVB16KGY,1,clear_in,none,clear_in,clear_in
310,ALXW2ZXX4SJRO,31,clear_in,none,none,clear_in
311,ALXW2ZXX4SJRO,23,none,none,clear_in,none
312,ALXW2ZXX4SJRO,7,none,clear_in,none,clear_in
313,ALXW2ZXX4SJRO,27,clear_in,none,clear_in,none
314,ALXW2ZXX4SJRO,5,none,none,clear_in,clear_in
315,ALXW2ZXX4SJRO,1,clear_in,clear_in,none,none
316,ALXW2ZXX4SJRO,13,clear_in,none,none,none
317,ALXW2ZXX4SJRO,15,none,clear_in,clear_in,none
318,ALXW2ZXX4SJRO,21,clear_in,clear_in,clear_in,clear_in
319,ALXW2ZXX4SJRO,26,clear_in,clear_in,none,clear_in
320,ALXW2ZXX4SJRO,20,clear_in,clear_in,clear_in,none
321,ALXW2ZXX4SJRO,28,clear_in,none,clear_in,clear_in
322,ALXW2ZXX4SJRO,19,none,clear_in,clear_in,clear_in
323,ALXW2ZXX4SJRO,12,none,clear_in,none,none
324,ALXW2ZXX4SJRO,17,none,none,clear_in,none
325,ALXW2ZXX4SJRO,25,clear_in,clear_in,clear_in,clear_in
326,ALXW2ZXX4SJRO,11,clear_in,none,none,none
327,ALXW2ZXX4SJRO,24,clear_in,none,none,clear_in
328,ALXW2ZXX4SJRO,4,clear_in,none,clear_in,none
329,ALXW2ZXX4SJRO,22,clear_in,clear_in,none,clear_in
330,ALXW2ZXX4SJRO,29,none,none,clear_in,clear_in
331,ALXW2ZXX4SJRO,3,clear_in,none,clear_in,clear_in
332,ALXW2ZXX4SJRO,6,clear_in,clear_in,none,none
333,ALXW2ZXX4SJRO,2,none,clear_in,none,clear_in
334,ALXW2ZXX4SJRO,8,none,clear_in,clear_in,clear_in
335,ALXW2ZXX4SJRO,16,clear_in,clear_in,clear_in,none
336,ALXW2ZXX4SJRO,9,none,clear_in,clear_in,none
337,ALXW2ZXX4SJRO,14,none,clear_in,none,none
338,ALXW2ZXX4SJRO,10,clear_in,none,none,clear_in
339,ALXW2ZXX4SJRO,30,clear_in,none,clear_in,clear_in
340,ALXW2ZXX4SJRO,18,clear_in,clear_in,none,none
341,A1BLNCSZ7GAL4T,6,clear_in,ambiguous,clear_in,clear_in
342,A1BLNCSZ7GAL4T,22,clear_in,none,none,none
343,A1BLNCSZ7GAL4T,28,none,none,ambiguous,none
344,A1BLNCSZ7GAL4T,8,clear_ex,clear_in,clear_in,none
345,A1BLNCSZ7GAL4T,17,ambiguous,clear_ex,none,none
346,A1BLNCSZ7GAL4T,5,ambiguous,ambiguous,clear_in,clear_ex
347,A1BLNCSZ7GAL4T,25,clear_in,clear_ex,none,clear_ex
348,A1BLNCSZ7GAL4T,30,ambiguous,clear_in,ambiguous,none
349,A1BLNCSZ7GAL4T,2,ambiguous,none,ambiguous,clear_in
350,A1BLNCSZ7GAL4T,24,ambiguous,clear_in,clear_in,none
351,A1BLNCSZ7GAL4T,7,none,ambiguous,none,none
352,A1BLNCSZ7GAL4T,3,none,none,ambiguous,clear_ex
353,A1BLNCSZ7GAL4T,14,none,ambiguous,clear_in,none
354,A1BLNCSZ7GAL4T,26,none,none,clear_ex,clear_ex
355,A1BLNCSZ7GAL4T,20,none,clear_ex,clear_ex,clear_in
356,A1BLNCSZ7GAL4T,13,clear_ex,ambiguous,clear_in,clear_in
357,A1BLNCSZ7GAL4T,19,clear_ex,clear_ex,ambiguous,none
358,A1BLNCSZ7GAL4T,23,clear_in,none,none,clear_ex
359,A1BLNCSZ7GAL4T,10,clear_ex,ambiguous,clear_in,none
360,A1BLNCSZ7GAL4T,29,clear_ex,clear_in,clear_in,clear_ex
361,A1BLNCSZ7GAL4T,21,ambiguous,clear_ex,clear_ex,none
362,A1BLNCSZ7GAL4T,18,clear_ex,ambiguous,clear_ex,none
363,A1BLNCSZ7GAL4T,31,clear_ex,clear_ex,clear_ex,clear_in
364,A1BLNCSZ7GAL4T,11,none,none,ambiguous,clear_in
365,A1BLNCSZ7GAL4T,27,clear_in,clear_ex,ambiguous,none
366,A1BLNCSZ7GAL4T,1,ambiguous,clear_ex,ambiguous,clear_ex
367,A1BLNCSZ7GAL4T,12,none,none,none,clear_ex
368,A1BLNCSZ7GAL4T,16,none,ambiguous,clear_ex,clear_ex
369,A1BLNCSZ7GAL4T,9,clear_ex,clear_ex,ambiguous,clear_in
370,A1BLNCSZ7GAL4T,15,ambiguous,none,ambiguous,none
371,A1BLNCSZ7GAL4T,4,ambiguous,none,clear_ex,clear_ex
372,A1GGHWXWUUF4WC,30,clear_ex,ambiguous,clear_in,clear_in
373,A1GGHWXWUUF4WC,9,clear_ex,clear_ex,clear_ex,none
374,A1GGHWXWUUF4WC,3,ambiguous,clear_in,clear_ex,clear_ex
375,A1GGHWXWUUF4WC,24,ambiguous,ambiguous,clear_in,clear_ex
376,A1GGHWXWUUF4WC,1,clear_in,clear_in,clear_ex,none
377,A1GGHWXWUUF4WC,29,ambiguous,clear_in,clear_in,clear_in
378,A1GGHWXWUUF4WC,6,clear_in,none,ambiguous,clear_ex
379,A1GGHWXWUUF4WC,19,ambiguous,ambiguous,clear_ex,clear_ex
380,A1GGHWXWUUF4WC,22,none,ambiguous,clear_in,clear_ex
381,A1GGHWXWUUF4WC,14,clear_ex,clear_ex,ambiguous,clear_ex
382,A1GGHWXWUUF4WC,21,clear_in,clear_in,none,clear_ex
383,A1GGHWXWUUF4WC,25,clear_ex,ambiguous,ambiguous,clear_in
384,A1GGHWXWUUF4WC,5,ambiguous,none,clear_in,clear_ex
385,A1GGHWXWUUF4WC,26,clear_in,clear_in,ambiguous,clear_in
386,A1GGHWXWUUF4WC,20,none,ambiguous,none,clear_ex
387,A1GGHWXWUUF4WC,15,clear_ex,clear_in,ambiguous,clear_ex
388,A1GGHWXWUUF4WC,27,clear_in,clear_in,clear_ex,clear_in
389,A1GGHWXWUUF4WC,7,none,none,clear_ex,clear_in
390,A1GGHWXWUUF4WC,2,ambiguous,clear_ex,clear_in,none
391,A1GGHWXWUUF4WC,8,ambiguous,clear_ex,clear_ex,none
392,A1GGHWXWUUF4WC,12,clear_in,clear_ex,none,clear_in
393,A1GGHWXWUUF4WC,31,ambiguous,clear_ex,clear_in,clear_in
394,A1GGHWXWUUF4WC,23,ambiguous,clear_ex,none,none
395,A1GGHWXWUUF4WC,16,clear_ex,ambiguous,clear_in,clear_ex
396,A1GGHWXWUUF4WC,4,none,clear_ex,clear_ex,none
397,A1GGHWXWUUF4WC,18,clear_in,clear_in,none,clear_in
398,A1GGHWXWUUF4WC,17,none,clear_in,ambiguous,clear_in
399,A1GGHWXWUUF4WC,10,ambiguous,clear_ex,ambiguous,clear_ex
400,A1GGHWXWUUF4WC,13,clear_in,clear_ex,clear_ex,clear_in
401,A1GGHWXWUUF4WC,11,clear_ex,clear_ex,ambiguous,clear_in
402,A1GGHWXWUUF4WC,28,none,none,clear_in,none
403,A1WSY9375NN2V3,16,clear_in,clear_in,none,none
404,A1WSY9375NN2V3,22,clear_in,none,clear_ex,none
405,A1WSY9375NN2V3,15,clear_in,clear_in,clear_ex,none
406,A1WSY9375NN2V3,25,clear_in,clear_in,clear_in,clear_ex
407,A1WSY9375NN2V3,18,clear_in,ambiguous,clear_in,none
408,A1WSY9375NN2V3,27,none,clear_in,clear_in,clear_ex
409,A1WSY9375NN2V3,9,ambiguous,clear_in,clear_in,clear_in
410,A1WSY9375NN2V3,21,clear_in,clear_in,ambiguous,clear_in
411,A1WSY9375NN2V3,10,ambiguous,clear_in,clear_ex,none
412,A1WSY9375NN2V3,8,ambiguous,clear_in,ambiguous,clear_in
413,A1WSY9375NN2V3,19,none,clear_in,none,clear_ex
414,A1WSY9375NN2V3,2,ambiguous,clear_in,none,clear_ex
415,A1WSY9375NN2V3,5,ambiguous,clear_in,ambiguous,clear_ex
416,A1WSY9375NN2V3,3,clear_in,none,clear_in,clear_ex
417,A1WSY9375NN2V3,23,none,clear_in,none,none
418,A1WSY9375NN2V3,7,none,clear_ex,clear_in,none
419,A1WSY9375NN2V3,6,clear_in,clear_in,clear_in,clear_in
420,A1WSY9375NN2V3,13,clear_in,clear_ex,clear_in,clear_in
421,A1WSY9375NN2V3,26,clear_in,clear_ex,clear_ex,clear_in
422,A1WSY9375NN2V3,17,none,clear_in,ambiguous,clear_in
423,A1WSY9375NN2V3,12,clear_ex,clear_in,clear_ex,clear_in
424,A1WSY9375NN2V3,14,clear_in,clear_ex,ambiguous,clear_in
425,A1WSY9375NN2V3,1,ambiguous,clear_ex,clear_in,none
426,A1WSY9375NN2V3,24,clear_in,none,ambiguous,none
427,A1WSY9375NN2V3,31,clear_in,clear_in,clear_in,none
428,A1WSY9375NN2V3,20,clear_ex,clear_in,none,clear_in
429,A1WSY9375NN2V3,11,none,clear_in,ambiguous,none
430,A1WSY9375NN2V3,29,ambiguous,clear_in,ambiguous,none
431,A1WSY9375NN2V3,30,none,ambiguous,clear_in,clear_ex
432,A1WSY9375NN2V3,28,none,clear_in,ambiguous,clear_ex
433,A1WSY9375NN2V3,4,clear_in,ambiguous,clear_ex,clear_in
434,A2S4M32VW9AP5G,13,clear_ex,clear_ex,none,clear_ex
435,A2S4M32VW9AP5G,22,ambiguous,clear_ex,clear_ex,clear_ex
436,A2S4M32VW9AP5G,23,ambiguous,ambiguous,ambiguous,none
437,A2S4M32VW9AP5G,26,clear_in,ambiguous,clear_in,clear_ex
438,A2S4M32VW9AP5G,4,clear_in,clear_in,ambiguous,clear_ex
439,A2S4M32VW9AP5G,9,clear_in,ambiguous,none,clear_in
440,A2S4M32VW9AP5G,10,clear_in,clear_in,ambiguous,clear_in
441,A2S4M32VW9AP5G,8,ambiguous,clear_ex,ambiguous,none
442,A2S4M32VW9AP5G,27,ambiguous,clear_in,ambiguous,none
443,A2S4M32VW9AP5G,2,clear_ex,clear_ex,none,none
444,A2S4M32VW9AP5G,18,none,clear_ex,none,none
445,A2S4M32VW9AP5G,24,none,ambiguous,clear_in,clear_ex
446,A2S4M32VW9AP5G,30,clear_ex,clear_ex,clear_in,none
447,A2S4M32VW9AP5G,25,none,none,ambiguous,none
448,A2S4M32VW9AP5G,31,none,ambiguous,clear_in,none
449,A2S4M32VW9AP5G,5,none,clear_in,clear_in,clear_ex
450,A2S4M32VW9AP5G,20,ambiguous,clear_ex,clear_ex,clear_in
451,A2S4M32VW9AP5G,21,clear_in,clear_ex,ambiguous,none
452,A2S4M32VW9AP5G,1,clear_ex,clear_ex,clear_ex,clear_ex
453,A2S4M32VW9AP5G,6,none,none,clear_in,none
454,A2S4M32VW9AP5G,7,none,ambiguous,none,none
455,A2S4M32VW9AP5G,16,clear_in,none,none,none
456,A2S4M32VW9AP5G,15,clear_in,clear_ex,ambiguous,clear_in
457,A2S4M32VW9AP5G,14,ambiguous,none,ambiguous,none
458,A2S4M32VW9AP5G,3,ambiguous,ambiguous,clear_ex,none
